t_rel,phase_rec,trial_idx_rec,simulation_intensity_rec,simulation_intensity_pct_rec,mu_power_rec,beta_power_rec
37.518100000000004,B,3,0.3259,0.2067,0.9764,0.7297
37.597100000000005,B,3,0.2771,0.1633,1.0182,0.7183
37.6741,B,3,0.246,0.1733,1.0158,0.7069
37.7531,B,3,0.2402,0.2267,0.9776,0.6968
37.8311,B,3,0.2491,0.27,0.9471,0.7005
37.9106,B,3,0.3254,0.5033,0.8514,0.6822
37.990700000000004,B,3,0.4108,0.61,0.8014,0.6729
38.0686,B,3,0.4455,0.5267,0.8248,0.7123
38.148700000000005,B,3,0.5409,0.7633,0.7343,0.6657
38.2267,B,3,0.5516,0.5767,0.8023,0.7016
38.3067,B,3,0.5281,0.4733,0.8397,0.7194
38.384800000000006,B,3,0.5027,0.4433,0.8551,0.7143
38.464800000000004,B,3,0.4609,0.3633,0.9056,0.6841
38.5427,B,3,0.4136,0.3033,0.9396,0.6886
38.6208,B,3,0.3735,0.28,0.9549,0.6779
38.698800000000006,B,3,0.3295,0.2267,0.9832,0.6934
38.776900000000005,B,3,0.3086,0.26,0.9537,0.6977
38.855900000000005,B,3,0.315,0.33,0.9308,0.695
38.9348,B,3,0.3435,0.41,0.8801,0.718
39.012800000000006,B,3,0.3885,0.4933,0.8384,0.7167
39.092800000000004,B,3,0.4549,0.61,0.7905,0.6953
39.1708,B,3,0.4905,0.5733,0.812,0.6976
39.2488,B,3,0.4933,0.5,0.8324,0.7192
39.328900000000004,B,3,0.5233,0.5933,0.8025,0.6942
39.406800000000004,B,3,0.4273,0.2033,0.975,0.7468
39.486900000000006,B,3,0.3641,0.2167,0.9793,0.7269
39.564800000000005,B,3,0.2939,0.13,1.0445,0.7464
39.644800000000004,B,3,0.2577,0.1733,1.0178,0.7115
39.7228,B,3,0.2324,0.1733,1.0162,0.715
39.7989,B,3,0.2397,0.2567,0.965,0.7006
39.878800000000005,B,3,0.3138,0.4867,0.8655,0.6729
39.956900000000005,B,3,0.3106,0.3033,0.9262,0.7308
40.0368,B,3,0.3865,0.5633,0.8192,0.6997
40.1148,B,3,0.4865,0.72,0.7449,0.6762
40.192800000000005,B,3,0.5376,0.6567,0.7676,0.692
40.272800000000004,B,3,0.5413,0.55,0.811,0.715
40.3523,B,3,0.4659,0.29,0.9231,0.7425
40.4303,B,3,0.4311,0.35,0.9123,0.7161
40.5107,B,3,0.4118,0.3667,0.9162,0.6766
40.5884,B,3,0.3583,0.2333,0.9834,0.7003
40.6678,B,3,0.3238,0.2433,0.9755,0.6974
40.745900000000006,B,3,0.3186,0.3067,0.9469,0.6885
40.8258,B,3,0.3361,0.3767,0.9121,0.6762
40.904,B,3,0.3402,0.35,0.9192,0.7082
40.9819,B,3,0.3852,0.49,0.8511,0.6937
41.0608,B,3,0.4646,0.65,0.7717,0.6912
41.1387,B,3,0.5742,0.83,0.6921,0.6749
41.218700000000005,B,3,0.595,0.6433,0.779,0.6786
41.2967,B,3,0.6365,0.7333,0.7448,0.664
41.375800000000005,B,3,0.6885,0.81,0.7238,0.6491
41.4534,B,3,0.646,0.5467,0.8382,0.6615
41.5315,B,3,0.5842,0.44,0.8858,0.6514
41.6096,B,3,0.5289,0.4,0.9023,0.6554
41.6878,B,3,0.4982,0.4267,0.8945,0.6466
41.7652,B,3,0.5138,0.55,0.8481,0.6385
41.845200000000006,B,3,0.5576,0.66,0.7933,0.6306
41.9223,B,3,0.6363,0.82,0.7162,0.6393
41.999900000000004,B,3,0.7014,0.8533,0.6993,0.6299
42.0795,B,3,0.773,0.94,0.6356,0.6172
42.157500000000006,B,3,0.8251,0.9467,0.6088,0.6329
42.2374,B,3,0.8686,0.97,0.5941,0.6125
42.315400000000004,B,3,0.894,0.9533,0.6004,0.6197
42.3954,B,3,0.8788,0.8433,0.6994,0.6242
42.472500000000004,B,3,0.8422,0.7567,0.7459,0.633
42.5495,B,3,0.7745,0.6167,0.7976,0.6325
42.6293,B,3,0.7562,0.7133,0.7697,0.6089
42.7074,B,3,0.7123,0.61,0.8024,0.6272
42.7845,B,3,0.6826,0.6133,0.7964,0.6346
42.8613,B,3,0.6908,0.71,0.7545,0.6383
42.941700000000004,B,3,0.7536,0.9,0.658,0.6131
43.0184,B,3,0.8155,0.96,0.596,0.619
43.0974,B,3,0.8679,0.99,0.5569,0.6092
43.177400000000006,B,3,0.9035,0.9867,0.5629,0.615
43.255300000000005,B,3,0.9194,0.9567,0.6013,0.6016
43.3352,B,3,0.9216,0.9267,0.6093,0.6246
43.4132,B,3,0.8991,0.8467,0.6918,0.6214
43.492200000000004,B,3,0.8754,0.82,0.7077,0.6087
43.571200000000005,B,3,0.8118,0.6633,0.7636,0.6323
43.6492,B,3,0.7402,0.5733,0.8011,0.6285
43.7293,B,3,0.7132,0.65,0.7779,0.6132
43.8093,B,3,0.7282,0.7633,0.7385,0.6175
43.8868,B,3,0.7668,0.8567,0.6928,0.599
43.9664,B,3,0.7967,0.8667,0.6725,0.6127
44.0465,B,3,0.8337,0.92,0.6139,0.6333
44.1235,B,3,0.8726,0.9633,0.5899,0.6196
44.2014,B,3,0.9068,0.9867,0.5578,0.624
44.2805,B,3,0.9248,0.9667,0.5803,0.6086
44.3588,B,3,0.9203,0.91,0.6244,0.6098
44.438900000000004,B,3,0.8802,0.7867,0.7053,0.6191
44.5148,B,3,0.8372,0.7367,0.7324,0.617
44.5925,B,3,0.779,0.6433,0.77,0.6136
44.6693,B,3,0.7113,0.5533,0.7989,0.6216
44.7496,B,3,0.6519,0.5133,0.8099,0.6268
44.827200000000005,B,3,0.6153,0.53,0.8022,0.6276
44.9071,B,3,0.6617,0.77,0.7135,0.6163
44.985400000000006,B,3,0.7242,0.87,0.6518,0.6206
45.0641,B,3,0.794,0.9567,0.5899,0.6193
45.1421,B,3,0.8308,0.9167,0.5927,0.6421
45.236000000000004,A,4,0.8555,0.9133,0.6027,0.6281
45.313,A,4,0.8399,0.8033,0.68,0.6479
45.3909,A,4,0.8079,0.7333,0.7155,0.6351
45.4698,A,4,0.7755,0.7,0.7365,0.6279
45.5489,A,4,0.7099,0.5567,0.7922,0.6284
45.6282,A,4,0.6269,0.4333,0.849,0.628
45.706700000000005,A,4,0.5688,0.4333,0.8456,0.6351
45.785700000000006,A,4,0.4982,0.3333,0.876,0.6593
45.8646,A,4,0.5657,0.7233,0.7241,0.6314
45.9437,A,4,0.574,0.5933,0.7527,0.6613
46.021100000000004,A,4,0.6458,0.8133,0.6783,0.6403
46.099000000000004,A,4,0.7161,0.88,0.6361,0.6254
46.176700000000004,A,4,0.7732,0.9067,0.6043,0.6311
46.255700000000004,A,4,0.8073,0.8867,0.624,0.6345
46.3327,A,4,0.8101,0.8167,0.6718,0.6332
46.4117,A,4,0.7901,0.7433,0.7097,0.6317
46.4908,A,4,0.717,0.5467,0.7808,0.6383
46.569100000000006,A,4,0.6529,0.5033,0.7995,0.6313
46.6479,A,4,0.5731,0.3867,0.8546,0.6382
46.726800000000004,A,4,0.5361,0.45,0.8241,0.6384
46.805800000000005,A,4,0.5153,0.4667,0.8192,0.6393
46.884800000000006,A,4,0.5627,0.6733,0.7395,0.6337
46.9639,A,4,0.6319,0.7933,0.68,0.6394
47.0433,A,4,0.7093,0.89,0.6145,0.6359
47.1218,A,4,0.7785,0.94,0.592,0.6211
47.2,A,4,0.827,0.94,0.5942,0.6154
47.2789,A,4,0.8389,0.8667,0.6333,0.624
47.3579,A,4,0.8262,0.7967,0.675,0.6299
47.4369,A,4,0.7804,0.6733,0.731,0.6369
47.5159,A,4,0.7382,0.64,0.7607,0.6059
47.5951,A,4,0.6388,0.4067,0.8462,0.6229
47.6739,A,4,0.5831,0.4533,0.8223,0.6219
47.752900000000004,A,4,0.5712,0.5433,0.7915,0.6168
47.831900000000005,A,4,0.5898,0.6333,0.7513,0.6235
47.910900000000005,A,4,0.6359,0.7433,0.7064,0.6193
47.989900000000006,A,4,0.6861,0.8033,0.6728,0.6305
48.0687,A,4,0.7413,0.87,0.6369,0.6148
48.1477,A,4,0.8069,0.96,0.5759,0.6199
48.2267,A,4,0.8588,0.98,0.5691,0.6051
48.3037,A,4,0.8672,0.8867,0.6092,0.6249
48.3827,A,4,0.846,0.7967,0.6702,0.6196
48.4598,A,4,0.7692,0.59,0.7559,0.6321
48.538700000000006,A,4,0.6665,0.4267,0.8294,0.6223
48.615500000000004,A,4,0.5975,0.4367,0.817,0.6356
48.6944,A,4,0.5763,0.5267,0.7931,0.6159
48.773500000000006,A,4,0.5294,0.42,0.8256,0.6338
48.8526,A,4,0.5286,0.5267,0.7899,0.6248
48.9315,A,4,0.555,0.6167,0.7468,0.637
49.0095,A,4,0.6195,0.77,0.6927,0.6233
49.0885,A,4,0.6846,0.8367,0.6373,0.6465
49.1677,A,4,0.7313,0.84,0.643,0.6283
49.2464,A,4,0.7579,0.82,0.6462,0.6424
49.326,A,4,0.7765,0.82,0.6502,0.6288
49.4022,A,4,0.7416,0.66,0.7228,0.6519
49.4819,A,4,0.6511,0.44,0.8061,0.6601
49.5606,A,4,0.5368,0.27,0.9057,0.65
49.6396,A,4,0.4607,0.2833,0.8921,0.6522
49.718700000000005,A,4,0.4105,0.2933,0.8871,0.6573
49.797700000000006,A,4,0.3404,0.1767,0.9566,0.6815
49.8766,A,4,0.3543,0.3867,0.8368,0.6654
49.9562,A,4,0.427,0.5967,0.75,0.6511
50.0352,A,4,0.4949,0.6533,0.7363,0.6502
50.1146,A,4,0.5444,0.66,0.7185,0.6772
50.1936,A,4,0.5811,0.6667,0.7231,0.662
50.286500000000004,B,4,0.5738,0.5567,0.747,0.6836
50.3646,B,4,0.5396,0.46,0.797,0.6722
50.4446,B,4,0.4617,0.28,0.8781,0.6952
50.522200000000005,B,4,0.3862,0.21,0.9276,0.694
50.6023,B,4,0.2914,0.07,1.0298,0.7266
50.6803,B,4,0.2219,0.06,1.0521,0.7405
50.7573,B,4,0.1894,0.1133,1.0035,0.7035
50.836200000000005,B,4,0.1566,0.08,1.018,0.7391
50.914,B,4,0.1926,0.2767,0.8966,0.6893
50.994,B,4,0.1928,0.1933,0.9234,0.7388
51.072900000000004,B,4,0.179,0.1467,0.932,0.7812
51.1509,B,4,0.2283,0.3433,0.8357,0.7313
51.2299,B,4,0.2348,0.25,0.8903,0.7461
51.307900000000004,B,4,0.2144,0.1667,0.9314,0.7564
51.3858,B,4,0.186,0.12,0.974,0.7507
51.4658,B,4,0.1432,0.0433,1.0882,0.7896
51.5459,B,4,0.1263,0.0867,1.0103,0.7404
51.623900000000006,B,4,0.1194,0.1033,1.0162,0.7075
51.703500000000005,B,4,0.0956,0.04,1.1131,0.7606
51.782500000000006,B,4,0.0819,0.05,1.0953,0.7682
51.8605,B,4,0.0853,0.0933,1.0151,0.742
51.937400000000004,B,4,0.1047,0.15,0.9696,0.7508
52.0154,B,4,0.1453,0.24,0.9149,0.7471
52.095600000000005,B,4,0.1387,0.1233,0.9649,0.7928
52.1734,B,4,0.1531,0.1867,0.9263,0.785
52.2515,B,4,0.1622,0.1833,0.9393,0.7635
52.3314,B,4,0.1815,0.2267,0.9154,0.7615
52.4095,B,4,0.1501,0.0767,1.0333,0.7618
52.4898,B,4,0.13,0.0833,1.0324,0.7365
52.569700000000005,B,4,0.109,0.06,1.0734,0.7432
52.6496,B,4,0.0963,0.0667,1.0606,0.75
52.7276,B,4,0.0854,0.06,1.0803,0.7472
52.8076,B,4,0.0858,0.0867,1.0416,0.7492
52.8838,B,4,0.0921,0.1067,1.0166,0.7469
52.961800000000004,B,4,0.1694,0.35,0.887,0.7166
53.0407,B,4,0.2536,0.45,0.8319,0.7208
53.1197,B,4,0.2985,0.4033,0.8482,0.7297
53.1997,B,4,0.308,0.33,0.8848,0.7457
53.2777,B,4,0.3326,0.39,0.8556,0.7329
53.3577,B,4,0.3188,0.2867,0.9219,0.7237
53.4337,B,4,0.2882,0.2167,0.9468,0.7427
53.5139,B,4,0.2567,0.1833,0.9847,0.72
53.592800000000004,B,4,0.2267,0.1567,1.0073,0.7061
53.672000000000004,B,4,0.1887,0.1,1.0434,0.7166
53.749900000000004,B,4,0.1531,0.07,1.0686,0.7369
53.828900000000004,B,4,0.1852,0.26,0.9498,0.7029
53.908,B,4,0.2046,0.25,0.95,0.718
53.9868,B,4,0.2922,0.4967,0.8318,0.7006
54.0647,B,4,0.3386,0.4467,0.8464,0.717
54.1436,B,4,0.386,0.4967,0.8335,0.7092
54.2226,B,4,0.4532,0.61,0.7702,0.6909
54.301700000000004,B,4,0.4492,0.44,0.8513,0.7109
54.380700000000004,B,4,0.4365,0.4067,0.8711,0.7041
54.4596,B,4,0.3815,0.2533,0.9503,0.7144
54.5386,B,4,0.3291,0.2067,0.9753,0.7195
54.6177,B,4,0.2913,0.2033,0.9874,0.7037
54.6967,B,4,0.2389,0.1167,1.0283,0.7224
54.7757,B,4,0.2293,0.2067,0.991,0.7008
54.8549,B,4,0.2265,0.22,0.9849,0.7021
54.9337,B,4,0.2815,0.41,0.8834,0.699
55.011700000000005,B,4,0.2601,0.21,0.9603,0.7536
55.090700000000005,B,4,0.2961,0.38,0.8803,0.7456
55.1687,B,4,0.3642,0.5233,0.8259,0.7131
55.246700000000004,B,4,0.37,0.3833,0.8838,0.7373
55.3258,B,4,0.41,0.5033,0.8405,0.7092
55.4048,B,4,0.387,0.3333,0.9233,0.7231
55.4838,B,4,0.3309,0.2,0.9711,0.7425
55.5628,B,4,0.2526,0.07,1.0659,0.7455
55.6419,B,4,0.1798,0.01,1.1465,0.7536
55.720800000000004,B,4,0.1439,0.06,1.0937,0.7537
55.7999,B,4,0.1257,0.0833,1.0615,0.7485
55.878800000000005,B,4,0.124,0.12,1.0207,0.7521
55.9583,B,4,0.2138,0.4233,0.8922,0.7112
56.0373,B,4,0.2417,0.3067,0.9289,0.741
56.1163,B,4,0.2152,0.1533,0.9797,0.7877
56.1953,B,4,0.2156,0.2167,0.95,0.7841
56.2744,B,4,0.2599,0.3633,0.9105,0.7488
56.3524,B,4,0.213,0.1033,1.0202,0.7892
56.4315,B,4,0.1711,0.0733,1.0561,0.7696
56.5105,B,4,0.1487,0.0967,1.0572,0.7368
56.589400000000005,B,4,0.1221,0.06,1.0884,0.7643
56.6664,B,4,0.1085,0.0767,1.0713,0.7457
56.744400000000006,B,4,0.1129,0.1233,1.0517,0.7291
56.8226,B,4,0.1041,0.0833,1.0651,0.7501
56.901700000000005,B,4,0.1128,0.1333,1.0275,0.7716
56.9803,B,4,0.194,0.3833,0.9179,0.7399
57.0583,B,4,0.2938,0.5267,0.8465,0.7283
57.136300000000006,B,4,0.2897,0.28,0.9382,0.7831
57.2154,B,4,0.3438,0.47,0.8783,0.7285
57.294700000000006,B,4,0.3466,0.3533,0.9258,0.7405
57.3737,B,4,0.3406,0.3267,0.9334,0.7429
57.4527,B,4,0.3024,0.2133,0.9884,0.736
57.5307,B,4,0.2287,0.0567,1.1003,0.7571
57.609700000000004,B,4,0.2161,0.1867,1.0207,0.7077
57.6875,B,4,0.1923,0.1367,1.051,0.7249
57.7665,B,4,0.2536,0.3967,0.9371,0.6977
57.8457,B,4,0.2375,0.2,0.9986,0.7449
57.9245,B,4,0.3173,0.5033,0.868,0.7051
58.002700000000004,B,4,0.3981,0.5867,0.8239,0.705
58.0812,B,4,0.4687,0.6333,0.7872,0.7032
58.1608,B,4,0.5391,0.7033,0.7613,0.6894
58.2398,B,4,0.5963,0.73,0.7466,0.6769
58.3188,B,4,0.6244,0.69,0.7746,0.6732
58.397800000000004,B,4,0.6211,0.6133,0.804,0.6771
58.4759,B,4,0.6008,0.5533,0.8625,0.6574
58.554700000000004,B,4,0.5505,0.4333,0.9104,0.6766
58.633100000000006,B,4,0.5474,0.54,0.8737,0.6455
58.711200000000005,B,4,0.5252,0.4733,0.8953,0.6597
58.790200000000006,B,4,0.5326,0.55,0.8664,0.6538
58.868100000000005,B,4,0.5548,0.6067,0.8265,0.6536
58.947700000000005,B,4,0.6384,0.8333,0.7031,0.6293
59.0275,B,4,0.7179,0.9033,0.6449,0.6307
59.1053,B,4,0.7835,0.9367,0.6118,0.6266
59.184400000000004,B,4,0.8275,0.93,0.6099,0.6328
59.2614,B,4,0.8402,0.87,0.6609,0.6459
59.340500000000006,B,4,0.8532,0.8833,0.6507,0.6267
59.4194,B,4,0.8472,0.8333,0.699,0.6231
59.4971,B,4,0.784,0.6367,0.7941,0.65
59.5748,B,4,0.7358,0.6233,0.8142,0.6344
59.654,B,4,0.6851,0.5667,0.8445,0.6341
59.7321,B,4,0.6546,0.5833,0.8318,0.6245
59.8117,B,4,0.6792,0.7367,0.7638,0.6184
59.8911,B,4,0.7144,0.7967,0.7218,0.6277
59.969500000000004,B,4,0.7701,0.9,0.6475,0.6076
60.048500000000004,B,4,0.8001,0.87,0.6587,0.6306
60.127500000000005,B,4,0.8441,0.9467,0.6057,0.6227
60.206500000000005,B,4,0.8758,0.95,0.5984,0.6346
